img27_I3.jpg Grila: Informatica 3, [6 Matematica], [3 Informatica]. Nota finala: 3.7
img29_I3.jpg Grila: Informatica 3, [4 Matematica], [5 Informatica]. Nota finala: 3.7
img31_I3.jpg Grila: Informatica 3, [2 Matematica], [5 Informatica]. Nota finala: 3.1
img32_I3.jpg Grila: Informatica 3, [6 Matematica], [6 Informatica]. Nota finala: 4.6
img58_I3.jpg Grila: Informatica 3, [7 Matematica], [5 Informatica]. Nota finala: 4.6
img74_I3.jpg Grila: Informatica 3, [5 Matematica], [5 Informatica]. Nota finala: 4.0
img86_I3.jpg Grila: Informatica 3, [5 Matematica], [7 Informatica]. Nota finala: 4.6
img90_I3.jpg Grila: Informatica 3, [9 Matematica], [7 Informatica]. Nota finala: 5.8
img114_I3.jpg Grila: Informatica 3, [7 Matematica], [3 Informatica]. Nota finala: 4.0
img126_I3.jpg Grila: Informatica 3, [11 Matematica], [6 Informatica]. Nota finala: 6.1
img131_I3.jpg Grila: Informatica 3, [4 Matematica], [7 Informatica]. Nota finala: 4.3
img132_I3.jpg Grila: Informatica 3, [10 Matematica], [4 Informatica]. Nota finala: 5.2
img144_I3.jpg Grila: Informatica 3, [7 Matematica], [6 Informatica]. Nota finala: 4.9
img149_I3.jpg Grila: Informatica 3, [10 Matematica], [6 Informatica]. Nota finala: 5.8
img166_I3.jpg Grila: Informatica 3, [9 Matematica], [3 Informatica]. Nota finala: 4.6
img174_I3.jpg Grila: Informatica 3, [11 Matematica], [7 Informatica]. Nota finala: 6.4
img183_I3.jpg Grila: Informatica 3, [4 Matematica], [9 Informatica]. Nota finala: 4.9
