img2_F2.jpg Grila: Fizica 2, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img3_F2.jpg Grila: Fizica 2, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img14_F2.jpg Grila: Fizica 2, [11 Matematica], [6 Fizica]. Nota finala: 6.1
img17_F2.jpg Grila: Fizica 2, [14 Matematica], [11 Fizica]. Nota finala: 8.5
img36_F2.jpg Grila: Fizica 2, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img42_F2.jpg Grila: Fizica 2, [9 Matematica], [9 Fizica]. Nota finala: 6.4
img49_F2.jpg Grila: Fizica 2, [10 Matematica], [11 Fizica]. Nota finala: 7.3
img63_F2.jpg Grila: Fizica 2, [5 Matematica], [9 Fizica]. Nota finala: 5.2
img69_F2.jpg Grila: Fizica 2, [12 Matematica], [12 Fizica]. Nota finala: 8.2
img93_F2.jpg Grila: Fizica 2, [14 Matematica], [9 Fizica]. Nota finala: 7.9
img108_F2.jpg Grila: Fizica 2, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img109_F2.jpg Grila: Fizica 2, [12 Matematica], [12 Fizica]. Nota finala: 8.2
img110_F2.jpg Grila: Fizica 2, [13 Matematica], [12 Fizica]. Nota finala: 8.5
img116_F2.jpg Grila: Fizica 2, [9 Matematica], [8 Fizica]. Nota finala: 6.1
img136_F2.jpg Grila: Fizica 2, [8 Matematica], [8 Fizica]. Nota finala: 5.8
img137_F2.jpg Grila: Fizica 2, [7 Matematica], [11 Fizica]. Nota finala: 6.4
img138_F2.jpg Grila: Fizica 2, [7 Matematica], [7 Fizica]. Nota finala: 5.2
img141_F2.jpg Grila: Fizica 2, [6 Matematica], [8 Fizica]. Nota finala: 5.2
img161_F2.jpg Grila: Fizica 2, [9 Matematica], [11 Fizica]. Nota finala: 7.0
img165_F2.jpg Grila: Fizica 2, [5 Matematica], [8 Fizica]. Nota finala: 4.9
img171_F2.jpg Grila: Fizica 2, [12 Matematica], [11 Fizica]. Nota finala: 7.9
img178_F2.jpg Grila: Fizica 2, [14 Matematica], [9 Fizica]. Nota finala: 7.9
img187_F2.jpg Grila: Fizica 2, [13 Matematica], [13 Fizica]. Nota finala: 8.8
img188_F2.jpg Grila: Fizica 2, [10 Matematica], [13 Fizica]. Nota finala: 7.9
