img13_I1.jpg Grila: Informatica 1, [7 Matematica], [4 Informatica]. Nota finala: 4.3
img24_I1.jpg Grila: Informatica 1, [10 Matematica], [7 Informatica]. Nota finala: 6.1
img30_I1.jpg Grila: Informatica 1, [9 Matematica], [4 Informatica]. Nota finala: 4.9
img40_I1.jpg Grila: Informatica 1, [8 Matematica], [1 Informatica]. Nota finala: 3.7
img46_I1.jpg Grila: Informatica 1, [8 Matematica], [12 Informatica]. Nota finala: 7.0
img81_I1.jpg Grila: Informatica 1, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img82_I1.jpg Grila: Informatica 1, [10 Matematica], [6 Informatica]. Nota finala: 5.8
img89_I1.jpg Grila: Informatica 1, [7 Matematica], [7 Informatica]. Nota finala: 5.2
img95_I1.jpg Grila: Informatica 1, [8 Matematica], [7 Informatica]. Nota finala: 5.5
img98_I1.jpg Grila: Informatica 1, [8 Matematica], [7 Informatica]. Nota finala: 5.5
img99_I1.jpg Grila: Informatica 1, [10 Matematica], [11 Informatica]. Nota finala: 7.3
img140_I1.jpg Grila: Informatica 1, [7 Matematica], [4 Informatica]. Nota finala: 4.3
img146_I1.jpg Grila: Informatica 1, [6 Matematica], [5 Informatica]. Nota finala: 4.3
img147_I1.jpg Grila: Informatica 1, [10 Matematica], [11 Informatica]. Nota finala: 7.3
img155_I1.jpg Grila: Informatica 1, [9 Matematica], [7 Informatica]. Nota finala: 5.8
img170_I1.jpg Grila: Informatica 1, [6 Matematica], [6 Informatica]. Nota finala: 4.6
img175_I1.jpg Grila: Informatica 1, [9 Matematica], [6 Informatica]. Nota finala: 5.5
img177_I1.jpg Grila: Informatica 1, [8 Matematica], [5 Informatica]. Nota finala: 4.9
img182_I1.jpg Grila: Informatica 1, [3 Matematica], [3 Informatica]. Nota finala: 2.8
img184_I1.jpg Grila: Informatica 1, [6 Matematica], [1 Informatica]. Nota finala: 3.1
